DATE      ,Time, Temp,   RH, HrRa, Wind, SolR,SFlag, MaxT, MinT, MxRH, MnRH, Rain,
01/01/2012,0000,   19,   57, 0.00,    0,    0,    1,   48,   18,   74,   21, 0.00,
01/01/2012,0100,   21,   63, 0.00,    1,    0,    1,   48,   18,   74,   21, 0.00,
01/01/2012,0200,   22,   64, 0.00,    6,    0,    1,   48,   18,   74,   21, 0.00,
01/01/2012,0300,   17,   68, 0.00,    3,    0,    1,   48,   17,   74,   21, 0.00,
01/01/2012,0400,   18,   68, 0.00,    4,    0,    1,   48,   17,   74,   21, 0.00,
01/01/2012,0500,   19,   67, 0.00,    0,    0,    1,   48,   17,   74,   21, 0.00,
01/01/2012,0600,   21,   63, 0.00,    0,    0,    1,   48,   17,   74,   21, 0.00,
01/01/2012,0700,   18,   67, 0.00,    1,    0,    1,   48,   17,   68,   21, 0.00,
01/01/2012,0800,   20,   64, 0.00,    0,    4,    1,   48,   17,   68,   21, 0.00,
01/01/2012,0900,   30,   46, 0.00,    0,  108,    1,   48,   17,   68,   21, 0.00,
01/01/2012,1000,   39,   33, 0.00,    3,  300,    1,   48,   17,   68,   21, 0.00,
01/01/2012,1200,   51,   23, 0.00,    1,  548,    1,   51,   17,   68,   21, 0.00,
01/01/2012,1300,   54,   20, 0.00,    0,  558,    1,   54,   17,   68,   20, 0.00,
01/01/2012,1400,   55,   18, 0.00,    2,  503,    1,   55,   17,   68,   18, 0.00,
01/01/2012,1500,   51,   20, 0.00,    0,  370,    1,   55,   17,   68,   18, 0.00,
01/01/2012,1600,   54,   19, 0.00,    0,  207,    1,   55,   17,   68,   18, 0.00,
01/01/2012,1700,   41,   23, 0.00,    0,   58,    1,   55,   17,   68,   18, 0.00,
01/01/2012,1800,   32,   33, 0.00,    0,    0,    1,   55,   17,   68,   18, 0.00,
01/01/2012,1900,   32,   34, 0.00,    0,    0,    1,   55,   17,   68,   18, 0.00,
01/01/2012,2000,   27,   41, 0.00,    0,    0,    1,   55,   17,   68,   18, 0.00,
01/01/2012,2100,   25,   43, 0.00,    0,    0,    1,   55,   17,   68,   18, 0.00,
01/01/2012,2200,   26,   45, 0.00,    3,    0,    1,   55,   17,   68,   18, 0.00,
01/01/2012,2300,   21,   47, 0.00,    0,    0,    1,   55,   17,   68,   18, 0.00,
01/02/2012,0000,   24,   45, 0.00,    2,    0,    1,   55,   17,   68,   18, 0.00,
01/02/2012,0100,   23,   50, 0.00,    0,    0,    1,   55,   17,   68,   18, 0.00,
